emoji,name,english,sha256,bytes,locator,status
⛓,⛓️ReverseChain.json,JSON,bda0d1e0a3483a876e654d4842f76bc9bcc8c0810626f875555450224f1fae60,325,動作容器/⛓️ReverseChain.json,完成
🎞,🎞️CapsuleMotion.gif,GIF,85dbf0b890744c10810bd7a6596e9c10b920cd40a6c41831d9182ad733c88195,9301,動作容器/🎞️CapsuleMotion.gif,完成
🎬,🎬CapsuleMotion.mp4,MP4,c6675251bd5da11fda56e2aaa64d44937ba2400b32297b579f361981ef97d7f4,6956,動作容器/🎬CapsuleMotion.mp4,完成
🎴,🎴EmbeddedVisual.svg,SVG,34f297359b5eadab7a02952444e76ae65c39f89def3cf59dfe2ecd09aac027df,2046,動作容器/🎴EmbeddedVisual.svg,完成
📄,📄Manifest.csv,CSV,e1aa169f0e9dfb547740da06ac5c3d8df7f06ee7fdad398d8cba3f2f23279349,2299,動作容器/📄Manifest.csv,完成
📄,📄Manifest.tsv,TSV,79e372c3ce977a022c64dd3dedcb8145dd9372230323cb495e6c1a8b6921e255,2299,動作容器/📄Manifest.tsv,完成
📄,📄Snapshot.pdf,PDF,f3aecdb6a09b24626bb0fd01049e8362508bc7498751cc1275edb017c71ce020,42670,動作容器/📄Snapshot.pdf,完成
📊,📊AuthorLayer.xlsx,XLSX,ac0783bffb6d11fc7243a613b487633bf9defaf07ec2ee222ad76421879713ff,6485,動作容器/📊AuthorLayer.xlsx,完成
📍,📍Locator.json,JSON,d5bf9d25474916911514d15e3ceae7754749537b159aa3a5767ffffea8ecb9a5,4803,動作容器/📍Locator.json,完成
📘,📘MarkdownSeed.md,MD,6f04ed58a266c08b57d6cb2c1f955628acd17a8e1c2dcaa8eeeb734612850f28,106,動作容器/📘MarkdownSeed.md,完成
📜,📜GPT專屬指示永久凍結.md,MD,4ac3eba4c95fc34e8f1f80e465e57c814e0e36029c0d95bbefc78aa7ffa355d6,2241,動作容器/📜GPT專屬指示永久凍結.md,完成
📦,📦Package.json,JSON,ac3aa7aaf56297b75e5eef2914d81cdc7f687f09afd9395251047a623fa248ee,148,動作容器/📦Package.json,完成
📸,📸Snapshot.json,JSON,0d1fe086f3a4c6a1a3f27ff2dc95ccbeb362da4724ae8766ab73fb434a7818d6,4612,動作容器/📸Snapshot.json,完成
🔁,🔁ExternalSync.json,JSON,49a0ea26838afb9f02ee76c102c11668f71a4b47d31ec1dcfc303b4c070b7a22,1383,動作容器/🔁ExternalSync.json,完成
🔁,🔁GitHubSync.json,JSON,b65d0e6d8df6db0d9c07fab19941843dad99f3af2b093205246b6ed2c01d5293,5243,動作容器/🔁GitHubSync.json,完成
🖥,🖥️CapsuleAction.html,HTML,3819e18210330f573159b65526114d735318753cca42e4454670563ca5e4e058,5348,動作容器/🖥️CapsuleAction.html,完成
🖼,🖼️Snapshot.png,PNG,b0ce3100c96d185ef38007a84853e39131e18c0e502fbf6954e7c2a7ea19a68c,7948,動作容器/🖼️Snapshot.png,完成
🖼,🖼️Snapshot.webp,WEBP,49a8e5ca8fd8975b2c9f9c2c4268d38d3b0cde297df796a4184a5fffbc5a274f,4350,動作容器/🖼️Snapshot.webp,完成
🧊,🧊FrozenInstruction.json,JSON,54973c1df702a219042a15ac414ffd586664e669c62037f737fda80d2ee5a772,2657,動作容器/🧊FrozenInstruction.json,完成
🧾,🧾Canonical.json,JSON,e3091999c8d74556f00240670144e306ddde2a81fe2084ad3b6892c4b1105d8d,819,動作容器/🧾Canonical.json,完成
