emoji	name	english	sha256	bytes	locator	status
⛓	⛓️ReverseChain.json	JSON	bda0d1e0a3483a876e654d4842f76bc9bcc8c0810626f875555450224f1fae60	325	動作容器/⛓️ReverseChain.json	完成
🎞	🎞️CapsuleMotion.gif	GIF	bb08b9a8ccb39be6074406513a24863324e699ea81ec42dbf0fb887111b77445	9999	動作容器/🎞️CapsuleMotion.gif	完成
🎬	🎬CapsuleMotion.mp4	MP4	82014bdbebb1b907f786b3b3fc66f2f2fed1ab97e84bfb4d04245aaaf2dc2402	6592	動作容器/🎬CapsuleMotion.mp4	完成
🎴	🎴EmbeddedVisual.svg	SVG	34f297359b5eadab7a02952444e76ae65c39f89def3cf59dfe2ecd09aac027df	2046	動作容器/🎴EmbeddedVisual.svg	完成
📄	📄Manifest.csv	CSV	3ea76ecd1b0ff820987e6bb9005cae80a33e6c8aae9661cc8a651a24f365e86f	1180	動作容器/📄Manifest.csv	完成
📄	📄Manifest.tsv	TSV	36f39c72e808119d417bfd15825e37d4388bc84123fc88d587907e79673e92bf	1180	動作容器/📄Manifest.tsv	完成
📄	📄Snapshot.pdf	PDF	f54194456b00a83b393cb5b57a98505b69e773e774d6bb55b25ea12aefc1afa3	46064	動作容器/📄Snapshot.pdf	完成
📊	📊AuthorLayer.xlsx	XLSX	6eff3f7141d6511f215806e0dc79efdfd91f72fa63635150923e5b4917ff4023	6279	動作容器/📊AuthorLayer.xlsx	完成
📍	📍Locator.json	JSON	04ba4f414f2fedc702e6d6f2fd96310e594d80ea4e334980387c37da87de4ec0	2564	動作容器/📍Locator.json	完成
📘	📘MarkdownSeed.md	MD	6f04ed58a266c08b57d6cb2c1f955628acd17a8e1c2dcaa8eeeb734612850f28	106	動作容器/📘MarkdownSeed.md	完成
📦	📦Package.json	JSON	ac3aa7aaf56297b75e5eef2914d81cdc7f687f09afd9395251047a623fa248ee	148	動作容器/📦Package.json	完成
📸	📸Snapshot.json	JSON	3faac8c314a349ebe16f1cd254243024421da9ea037baf11096fe6b195db2f90	2373	動作容器/📸Snapshot.json	完成
🖥	🖥️CapsuleAction.html	HTML	3e000dc6abe82a688369424f15d3ff35410bc91324d601f7803a75d156ea0819	5190	動作容器/🖥️CapsuleAction.html	完成
🖼	🖼️Snapshot.png	PNG	d2a8e44d2f2d7d40a1643228b318004d98b76eaf464a1abe093a49642e476b61	7952	動作容器/🖼️Snapshot.png	完成
🖼	🖼️Snapshot.webp	WEBP	c37fd8eb291e967968945caef6f12abdb1934439c8cb2307749e3da31d9f85da	4426	動作容器/🖼️Snapshot.webp	完成
🧾	🧾Canonical.json	JSON	e3091999c8d74556f00240670144e306ddde2a81fe2084ad3b6892c4b1105d8d	819	動作容器/🧾Canonical.json	完成
